Phase Field,Target
Co Ge Mn Ni,0
Co Ge Mn,1
Al U W,0
Ca La Sb,0
Ca Ce Sb,0
Ca Sb Sm,0
Ca Nd Sb,0
Pt Sb Zr,0
Li Zn,0
Li Sr,0
Cu Ti,1
Ni Ti,1
In Sc,1
Ni Sm,1
Sm Zn,1
La Rh,1
Bi Mg Ni,0
Au Mg Sn,0
Au Li Mg Sn,0
Li Mg Pd Sn,0
Mg Pt Sn,0
Ge Nb,1
Ge Ta,0
Sb Th,0
Al Mn Sb Yb,0
Al Eu Mn Sb,0
Co Ge Zr,1
Ge Na Zn,0
Cs Sb Zn,0
Cd Rb Sb,0
Cd Cs Sb,0
Rb Sb Zn,0
In Ir Sr,0
Ge Li Mn,0
Al Cu Yb,1
Bi Ga K,0
Ir Zn,0
Ag Ga Sr,0
Ag Al Sr,1
Ag Al Ba,0
Ag Al Ca,1
Al Cu Sr,0
Al Ba Cu,1
Al Au Ca,0
Al Cu La,1
Ag Al Ce,1
Ag Al Pr,1
Ba Ge Ni,0
Ba Ge Pd,0
Ba Cu Ge,0
Au Ba Ge,0
Cu Ge Tb,0
Ge Ni Tb,0
Ge Hf Mo,1
Ge Ho Mn,1
Ge Ho Ni,0
Ge Ho Os,0
Ge Ho Pd,0
Ge Ho Ru,0
Ge La,1
Ge Li Lu,0
Ge Li Tm,0
Ge Li Yb,1
Ge Li Zn,0
Ge Lu,0
Ge Mg Yb,0
Ce In Pd,0
Cd Ce Sb,0
Fe Ge La,0
Al Ce Ru,1
Ir Mg,1
Al Cr Ni,1
Ba Ga Sb,0
Ge Pr Ti,0
Ge Nd Ti,0
Ge Tb Ti,0
Dy Ge Ti,0
Ge Ho Ti,0
Er Ge Ti,0
Ca Ge,0
Nb Ni Sb,0
Co Sb Th,0
Ba Na Sb,0
Fe Ga Ge Tb,1
Ge Nd Zn,0
Au Ga Nd,0
Au Ga Sm,0
Au Ga La,0
Au Ga Pr,0
Cd La Mg Pb,0
Ge Sr,0
Al Ge Li,0
Au Ce Ge,0
Cu In Pr,0
Ce Cu In,0
Sc Sn,1
Pb Sc,0
Co Nb,1
Ce Ni Zn,1
Al Mn,0
Bi Ce Cu,0
Bi Co Ho,0
Co Ho,1
Fe Ge Tb,1
Pd Sn,1
Ni U Zn,1
Ag Yb,1
Cs Ge Na Tl,0
Cs Ge Na,0
Ge Na Pd,0
Cr Ga Hf,1
Fe Ga Hf,1
Ga Mn Sc,1
Al Nd Ni,1
Al Cr Pr,0
Al Co Zr,1
Al Fe Zr,1
La Ni,1
Au Eu In,1
Au Eu Ga,0
Al Cu Y,1
La Mg Nd Ni,1
Fe Ni Sb Sm,0
Ba Bi Ti,0
Bi Eu Ti,0
Cd K Sb,0
La Ni Sb,0
Al Co Gd,1
Ag Ge Pr,0
Ag Ge Nd,0
In Ir Nd,0
Al Fe La Mg,0
Al Ce Fe Mg,0
Al Fe Mg Pr,0
Al Fe Mg Nd,0
Ga Na Sn,0
Al Pt Yb,0
Cu Mg,1
Cu Mg Ni,1
Cu Mg Sn,1
Cu Mg Zn,1
Cu Mn Nd,0
Cu Mn Pr,0
Cu Mn Sb,0
Mn Pt Sb,0
Cu Mn Sm,0
Cu Mn Sn,1
Cu Mn Zn,0
Cu Mn Zr,1
Cu Nd,1
Cu Nd Sn,0
Cu Ni,1
Cu Ni Pd,0
Cu Ni Sn,1
Cu Ni Ta,1
Cu Ni Tb,1
Cu Ni Ti,1
Cu Ni U,1
Cu Ni Y,1
Cu Ni Yb,1
Cu Ni Zn,1
Cu Ni Zr,1
Cu Pb Pr,0
Cu Pb Sm,0
Cu Pb Yb,0
Cu Pb Zr,0
Cu Pd,1
Cu Pd U,1
Cu Pd Yb,1
Cu Pr,1
Cu Pr Sn,0
Cu Pt,1
Cu Pt Zn,0
Cu Pu,0
Cu Rh,0
Cu Sb,0
Cu Sb Ti,0
Cu Sb U,0
Cu Sb Zr,0
Cu Sc,0
Cu Sc Sn,1
Cu Sc Zn,1
Cu Sm,1
Mn Ni Sn,1
Ga Ir,0
Bi La,1
Cr Gd Ge,1
Cr Gd Sn,0
Au Bi Ca,1
Co Cu In Mn,0
Co Cu Mn Sn,0
Co Cu Mn Sb,0
Co Sn Ta,0
Ni Sb Sc,0
Pd Sb Sc,0
Pt Sb Sc,0
Hf Rh Sb,0
Al Ni Ti,1
Al Co Ti,1
Al Fe Ti,1
Al Co Ni Ti,0
Al Fe Ni Ti,0
Al Co Fe Ti,0
Al Ti,1
Co Mn Sb,0
Cu Li,1
Be Li Sb,0
Be Bi Li,0
Ge Li Sc,0
Sc Zn,1
Y Zn,1
Ti Zn,1
Zn Zr,1
Ga Mn Zr,1
Nd Pb,1
Bi Y,0
Bi La Y,0
Ru Sb V,0
Dy Ni,1
Ho Ni,1
Er Ni,1
La Mg,1
Mg Nd,1
Mg Sm,1
Pt V,1
Cr Pt,1
Mn Pt,1
Fe Pt,1
Al Cr Fe Nb,0
Al Mn Nb V,0
Bi Co Y,0
Co Sb Y,0
Ni Rh Tb,1
Ni Ru Tb,1
Ni Tb,1
Cr Sb Y,0
Mn Sb Y,0
Al Cr Fe,0
Cr Fe Ga,0
Al Co Cr Ti,0
Al Co Cr,1
Al Cu Mn,1
Cu In Mn,1
Co In Nb,0
Co In Zr,0
Fe Ga Rh,0
Fe In Rh,0
Mn Sb V,0
Ba Bi,1
Bi Ca,1
Bi Sr,1
Co Sb Ti,0
Ge Zr,0
Ge Hf,0
Ge Mo,0
Mo Sb,0
Al Ca Mn Sb,0
Ge Ti,0
Pt Sb,0
Fe Ge,1
Al Ca Cu,1
Pt Sn,1
Li Sb Sn,0
Ge Mn,1
Ge Mn Nd,1
Ge Mn Pd,0
Ge Mn Tb,1
Ge Mn Y,1
Ge Mo Nb Sn,0
Ge Nb Sn,0
Ge Nb V,0
Ge Nb Zr,0
Ge Nd Ni,0
Ge Nd Ni Tb,0
Ge Nd Ru,0
Ge Ni Sc,1
Ge Ni Sm,0
Ge Ni Tm,0
Ge Np,1
Ge Np Rh,0
Ge Pd Yb,0
Ge Pr,0
Ge Pt Sr,0
Ge Sn Zr,0
Ge V Zr,1
Ge Y,0
Ge Yb,1
Sb Sr,0
Sb Zn Zr,0
Al Au,0
Al Au Hf,1
Al Au Mn,0
Al Au Sc,0
Al Au Ti,0
Al Au V,0
Al Au Zr,1
Al Ba,1
Al Be Ce,0
Al Be Cu,1
Al Be Fe,1
Al Be Mn,1
Al Be Ni,1
Al Ca,1
Al Ca Cd,0
Al Ca Co,0
Al Ca Cr,0
Al Ca Dy,1
Al Ca Gd,1
Al Ca La,1
Al Ca Mn,1
Al Ca Ni,0
Al Ca Yb,1
Al Ca Zn,1
Al Ce,1
Al Ce Co,1
Al Ce Cr,0
Al Ce Cu,1
Al Ce Cu Mn,0
Al Ce Cu Ni,1
Al Ce Eu,1
Al Ce Fe,1
Al Ce Ga,1
Al Ce La,1
Al Ce Mn,1
Al Ce Nd,1
Al Ce Ni,1
Al Ce Pr,1
Al Ce Sc,1
Al Ce Sn,1
Al Ce Y,1
Al Ce Zn,0
Al Co,1
Al Co Cr Ni Y,1
Al Co Cu,0
Al Co Dy,1
Al Co Er,1
Al Co Fe,1
Al Co Hf,1
Al Co Ho,1
Al Co La,1
Al Co Lu,1
Al Co Mn,1
Al Co Mo,1
Al Co Nb,1
Al Co Nd,1
Al Co Ni,1
Al Co Pr,1
Al Co Ru,1
Al Co Sc,1
Al Co Sm,1
Al Co Sr,0
Al Co Ta,1
Al Co Tb,1
Al Co Th,1
Al Co U,1
Al Co V,1
Al Co Y,1
Al Cr,0
Al Cr Ge,0
Al Cr Mg,0
Al Cr Mn,0
Al Cr Nb,1
Al Cr Y,0
Al Cr Zr,1
Al Cu,1
Al Cu Dy,1
Al Cu Er,1
Al Cu Fe,0
Al Cu Gd,1
Al Cu Hf,1
Al Cu Ho,1
Al Cu La Ni,1
Al Cu Li,1
Al Cu Mg,1
Al Cu Mn Sn,0
Al Cu Mo,1
Al Cu Nd,1
Al Cu Ni,1
Al Cu Np,0
Al Cu Pd,0
Al Cu Pr,1
Al Cu Re,0
Al Cu Rh,0
Al Cu Sc,1
Al Cu Sm,1
Al Cu Tb,1
Al Cu Ti,1
Al Cu Tm,1
Al Cu U,1
Al Ga Gd,1
Al Ga Ho,0
Al Ga Li,0
Al Ga Nb,0
Al Ga Nd,1
Al Ga Ni,1
Al Ga Sc,0
Al Ga Sr,0
Al Ga Tm,1
Al Ga V,0
Al Ga Yb,1
Al Ga Zr,0
Al Gd,1
Al Gd Ho,1
Al Gd La,1
Al Gd Lu,1
Al Gd Mn,1
Al Gd Nd,1
Al Gd Ni,1
Al Gd Pr,1
Al Gd Tb,1
Al Ge La,0
Al Ge Mo,0
Al Ge Nb,0
Al Ge Ni,1
Al Ge V,0
Al Hf,1
Al Hf Ho,1
Al Hf Mo,1
Al Hf Ni,1
Al Hf Pd,1
Al Hf Tb,1
Al Hf W,1
Al Hf Zn,1
Al Ho,1
Al Ho Mn,1
Al Ho Nd,1
Al Ho Ni,1
Al Ho Pr,1
Al Ho Tb,1
Al Ho Zr,1
Al In Li,0
Al In Ni,1
Al In Sb,0
Al Ir,0
Al Ir Mn,0
Al Ir Nb,1
Al La,1
Al La Lu,1
Er Ge,0
Ce Ge,0
Ge Nd,0
Ge Sm,0
Al Ge Na,0
Dy Ge,1
Ge Tm,0
Ba Mn Sb,0
Hg Ni,0
Ca Mg Sb,0
Ba Ge In Li,0
Eu Ge In Li,0
Au Ga Yb,0
Ba Na Pb,0
Ba Na Sn,0
Eu Na Sn,0
Al Ba Mg,1
Ba Mg,1
Al Mg Sr,1
Mg Sr,1
Sb Yb Zn,0
Ca Sb Zn,0
Sb Zr,0
Al La Ni,1
Al Os Y,0
Dy Ge Ni,0
Er Ge Ni,0
Ge Ni Yb,0
Ge Lu Ni,0
Cu Ga Mg,1
Na Sn,1
Ag Li Sn,0
Au In Sn,0
Au Sb Sn,0
Ca Ge Pd,1
Bi Ni,0
Bi Pt,1
Bi Rh,0
Ba Cu Ge Sn,0
Al Li Zn,0
Au Ca Sn,0
Ba In Ir,0
Co K Sn,0
Co In La,1
Ge Li,0
Cu Sm Sn,0
Cu Sn,1
Cu Sn Tb,1
Cu Sn Tm,0
Cu Sn U,1
Cu Sn Y,1
Cu Sn Yb,1
Cu Sn Zr,0
Cu Sr,1
Cu Ta V,1
Cu Tb,1
Cu Th,0
Cu Ti Zr,1
Cu Tm,1
Cu U,1
Cu Y,1
Cu Yb,1
Cu Zn,0
Cu Zn Zr,0
Cu Zr,1
Fe Sb Ti,1
Ni Sb Ti,0
Co Sn Ti,0
Mn Nb,1
Sb Sc,0
Ga Hf V,1
Ga Sc V,0
Bi Ho,0
Co Y,1
In Sb,0
Ir Sb Ti,0
Pt Pu,1
Ge Ru,0
Fe Tb,1
Cu Ga,0
In Pt,1
Co Sc,1
Hf Ni,1
Pt Y,1
Pd Pu,1
Ag Hg,0
Mg Pd,1
Gd Zn,1
Cd Er,0
Cd Y,0
Eu In Pt Sr,0
Al Ba Pt,0
Ca Li Sn,0
Ce Co Mg,1
Al Co Tm,1
Al Dy Ni,1
Al Er Ni,1
Al Ni Tm,1
Pt Sm Sn,0
Nd Pt Sn,0
La Pt Sn,0
Ce Pt Sn,0
Ca In Pt,0
Ga Ge Re,0
Cu Mn Pd Sb,0
Cu Mn Pt Sb,0
Cu Ni Sb,0
Cu Sb Sr,0
Dy Ge Pd,0
Dy Ge Pt,0
Dy Ni Sb,0
Dy Pt Sb,0
Er Ge Mn,1
Er Ni Sb,0
Er Pt Sb,0
Er Sb,0
Eu Ge,0
Eu Ge Ni,0
Fe Ge Hf,1
Fe Ge Nd,1
Fe Ge Ni,1
Fe Ge Pr,1
Fe Ge Sm,1
Fe Ge Ti,1
Fe Ge U,1
Fe Ge V,1
Fe Ge Yb,1
Fe Ge Zr,1
Fe La Sb,0
Fe Sb,0
Fe Sb Sn,0
Fe Sb V,0
Ga Ge Nb,0
Ga Ge Ni,1
Ga Ge Pt,0
Ga Ge V,0
Ga In Sb,0
Ga K Sb,0
Ga Nb Sb,0
Ga Ni Sb,1
Ga Sb,0
Gd Ge Mn,1
Gd Ge Pd,0
Gd Ge Pt,0
Gd Ge Rh,0
Gd Pt Sb,0
Nb Sb,0
Pd Sb,0
Pd Sb Tb,0
Pr Sb,0
Pt Sb Sn,0
Pt Sb Tb,0
Pt Sb Tm,0
Pt Sb Yb,0
Ge Ni,1
Co Ge,0
Pu Sb,0
Rb Sb,0
Fe Ga Sb,0
Fe Hf,1
Co Hf,1
Mn Ti,1
Ce Zn,1
Al Ni U,1
Dy Pb,1
Ce Ga Ni,1
Al Ni Sm,1
Al Cu Lu,1
Ga Ni Zr,1
Al Ni Th,1
Co Ga Th,0
In Pd Th,0
Al Pt U,1
Ga Ni U,1
Ga Rh U,0
Ga Ir U,0
Ga Pt U,0
In Pd U,0
Pt Ti,1
Ag Hf,0
Fe Tb Ti,0
Au Gd Mg Y,0
La Mg Ni,1
Fe Gd,1
Fe Gd Ti,0
Fe Ga Gd,1
Fe Ga Gd Ti,0
Co Er,1
Al Ce Pd,1
Co Ge Lu,1
Pr Y,0
Ce Gd,0
Ce Ho,0
Mg Ni,1
Sn Ti,1
Gd Ni,1
Os Sb,0
Fe Pd Zn,0
Ba Ge,1
Cu Li Sn,1
Co Tb,1
Co Tb Y,0
Co Th,1
Co Ti,1
Co Ti Y,0
Co Ti Zr,1
Co Tm,1
Co U,1
Co V,1
Co V W,1
Co V Y,1
Co V Zr,1
Co W,1
Co Y Zr,1
Co Yb,1
Co Yb Zr,1
Co Zn,0
Co Zr,1
Cr Cu Mn Sb,0
Cr Cu Ta,1
Cr Dy Fe,0
Cr Dy Ge,1
Cr Er Fe,1
Cr Er Mn,1
Cr Fe,1
Cr Fe Gd,0
Cr Fe Ho,0
Cr Fe Lu,0
Cr Fe Mn Sb,0
Cr Fe Mn Ti Zr,1
Cr Fe Mn Zr,1
Cr Fe Mo,0
Cr Fe Mo Ti,0
Cr Fe Nb,1
Cr Fe Nd,0
Cr Fe Ni Ti,0
Cr Fe Ni Zr,1
Cr Fe Sb,0
Cr Fe Sm,0
Cr Fe Tb,0
Cr Fe Ti,1
Cr Fe Ti Zr,1
Cr Fe Tm,0
Cr Fe U,1
Cr Fe V,0
Cr Fe W,0
Cr Fe Y,0
Cr Fe Zr,1
Cr Ga,1
Cr Ga Nb,1
Co Ga Mn,0
Fe Nb,1
Fe Zr,1
Fe Nb Zr,1
Co Ga Ni,0
Co In Ni,0
Co Ge Ni,0
Co Ni Sn,0
Co Ni Sb,0
Co In Mn Ni,0
Co Mn Ni Sb,0
Co Mn Ni Sn,0
In Mn Ni,0
Mn Ni Sb,0
Al Co Li Nb,0
Eu Sb,0
Bi Ca Mn,0
Ce Ge Li,0
Cd Dy,0
In Mn,0
Pd Sm,1
Fe Ga,1
U Zn,1
Ce Cr Ge,0
Mn Pt Sn,0
Ce Ge Rh,0
Mn Sn Yb,1
Mn Sc Sn Yb,1
Mn Sc Sn,1
La Pd Sb,0
Ce Pd Sb,0
Pd Pr Sb,0
Nd Pd Sb,0
Pd Sb Sm,0
Fe Ge Mn,1
Ca Cu Sb Zn,0
Cu Eu Sb Zn,0
Cu Sb Sr Zn,0
Ge Hg Li,0
Ge Ho,0
Ge In Li,0
Ge Ir,0
Ge Ir La Pd,0
Ge Ir Nd,0
Ge Ir U,0
Ge La Ni,0
Ge La Pd,0
Ge La Pd Rh,0
Ge La Pt,0
Ge La Pt Rh,0
Ge La Pt Ru,0
Ge Li Mg,0
Ge Li Ni,0
Ge Li Pd,0
Ge Mg,1
Ge Mg Ni,1
Ge Mg Sn,1
Ge Mn Ni,1
Ge Mn Ni Ti,0
Ge Mn Rh,0
Ge Mn Sr,0
Ge Mn U,1
Ge Mn V,0
Ge Mn Zr,1
Ge Mo V,0
Ge Nb Pt,0
Ge Nd Os,0
Ge Nd Pd,0
Ge Nd Pt,0
Ge Nd Rh,0
Ge Ni Pr,0
Ge Ni Pt,1
Ge Ni Ta,1
Ge Ni Ti,0
Ge Ni U,0
Ge Ni Zn,0
Ge Os V,0
Ge Pd Tb,0
Ge Pd Th,0
Ge Pd U,0
Ge Pt Th,0
Ge Pt U,0
Ge Rh,0
Ge Rh Tb,0
Ge Rh Th,0
Ge Rh U,0
Ge Ru Tb,0
Ge Ru Y,0
Ge Sc,0
Ge Sn V,0
Ge Sr Zn,0
Bi Tl,0
Sb Sn,0
Cr Sb,0
Mn Sb,1
Al Ge Mg Y,0
Ge Tb,1
Ge Th,0
Ge Ti V,0
Ge U,1
Ge V,0
Ni Sb,0
Hg K Sb,0
Ho Pt Sb,0
Ho Sb,0
Dy Fe Ti,0
Er Fe Ti,1
Ni Zr,1
Mn Zr,1
Er Fe,1
Ga La Ni,1
Ge Lu Os,0
Ge Lu Rh,0
Ge Rh Y,1
Ge Ir Y,0
Ge Os Y,0
Ni Sn Ti,1
Co Ni Sn Ti,0
Cu Ni Sn Ti,0
Au Cd,1
Cd Cu Eu Sb,0
Ag Cd Eu Sb,0
Au Cd Eu Sb,0
Ca Li Zn,0
Al Ce Co Fe,0
Al Ce Co Mn,0
Al Ce Co Ni,0
Au Ba Ga,0
Ag Eu In,0
Dy Ga,1
Dy Ga Mn,1
Mg Nd Ni,1
Co Mg Nd Ni,1
Cu Mg Nd,1
Be Fe,1
Ba Pt Sb,0
Ni Sb Zr,0
Pd Sb Zr,0
Hf Ni Sb,0
Hf Pd Sb,0
Cr Ni Sb,0
Fe Hf Ni Sb,0
Al Co Ge Pd,0
Ba In Sb,0
Ca Mg Ni,1
Mg Ni Pr,1
Ce Ni,1
Ni Y,1
Bi U,0
Cr Ti,1
Fe Ti,1
Ge La Mn,0
Ce Sb,0
Nd Rh,1
Ge K Li,0
Cd Eu Sb Zn,0
Ni Sb V,0
Fe Ga Ge Sm,0
Fe Ga Ge Y,0
Ga Ge Ni Y,0
Ba Li Sr,0
Ag Ca Ge Mn,0
Al Ge Tb,0
Al Dy Ge,0
Al Ge Ho,0
Al Er Ge,0
Al Ge Tm,0
Al Ge Lu,0
Al Ge Y,0
Ga Nb,0
Ga Mo Ta,0
Nd Pd Sn,0
Gd Pd Sn,0
Ge Ir Sc,0
Au Sn Tb,0
Cd Eu Sb,0
Ca Mn Sb,0
Au Gd Mg,0
Cd Ni Y,1
Cd Pd Y,0
Cd Co Y,0
Cd Ru Y,0
Cd Er Ni,1
Cd Er Fe,0
Au Ce Sn,0
Al Ca Pd,0
Au Sn Sr,0
Al Au Pd Sc,0
Mg Ni Sn,0
Hg Sn Sr,0
Ce Pd Rh Sn,0
Au Ge Sr,0
Ga La Rh,1
Ag Ca Pt,0
Ca Mg Pd,0
Ca Ga Pt,0
Mg Pd Zn,1
Al Fe La,0
Ba Ge Ir,0
Ge Ir Sr,0
Eu Ge Ir,0
Ca Ge Ir,0
Co Gd,1
Cr Ga Ti,1
Cr Ga Zr,1
Cr Ge,0
Cr Ge Hf,0
Cr Ge Nb,1
Cr Ge Np,0
Cr Ge Sc,1
Cr Ge Ti,0
Cr Ge V,0
Cr Ge Zr,0
Cr Hf,1
Cr Ir,1
Cr Lu Mn,1
Cr Mn Sb,0
Cr Mn Ti,1
Cr Mn Ti Zr,1
Cr Mn Tm,1
Cr Mn Zr,1
Cr Mo,0
Cr Mo Ni,0
Cr Nb,1
Cr Nb Ni,1
Cr Ni,1
Cr Ni Ta,1
Cr Ni U,1
Cr Ni W,0
Cr Ni Y,1
Cr Ni Zr,1
Cr Os,0
Cr Pt Sb,0
Cr Re,0
Cr Rh,1
Cr Rh Sn,0
Cr Ru,0
Cr Ta,1
Cr Tc,0
Cr Ti Zr,1
Al Li Ni Zr,0
Ga Li Ni Zr,0
Fe Ge Li Nb,0
Al Co Li Ta,0
Co Ga Li Nb,0
Co Li Sn Zr,0
Co Hf Li Sn,0
Co Ge Hf Li,0
Co Cr Fe Sb,0
Pd Sc,1
Cu Ge Nd,0
Mn Sb Yb,0
Ni Th,1
Ag Th,0
Au Th,0
Cd Th,1
Al Th,1
Ir Sb,0
Li Pb,0
Be Rh,1
Bi Ca Ti,1
Bi Ni Sr,0
Ca Sb V,1
Au Ge Na,0
Cr Ge Mo,0
Al Ge Yb,0
In Pt Y,0
In Pt Zr,0
In Pu,1
In Rb,0
In Rh,0
In Rh Y,0
In Ru,1
In Sb Sn Zn,0
In Sm,1
In Sm Sn,1
In Sn,0
In Sn Tb,1
In Sn Tm,1
In Sn Y,1
In Sr,1
In Tb,1
In Th,1
In Ti,1
In Tl,0
In Tm,1
In U,1
In Y,1
In Yb,1
In Zr,1
Eu Ge Zn,0
Ge Mo Tb Ti,0
Cu Pr Sb,0
Cu Nd Sb,0
Al Gd Ge,1
Cu Hf Sb,0
Cu Ge U,0
Ni Sb Y,0
Ga Ge Lu Mn,1
Ga Ge Mn Tm,1
Ga Ge Ho Mn,1
Ge In La,0
Ba Ga Ge,0
Eu Ga Ge,0
Fe Ga Ge Sc,1
Ge Pt Tb,0
Er Ge Pt,0
Ge Ir Tb,0
Ge Ho Ir,0
Er Ge Ir,0
Cu Sb Tb,0
Gd Ge Mg,0
Au Ge Ho,0
Au Ge U,0
Ga Ge Sr,0
Bi Gd Sb,0
Ho In,1
Co Ho In,0
Al Er Fe,1
Au Bi La,0
Au Bi Ce,0
Au Bi Pr,0
Au Bi Nd,0
Au Bi Sm,0
Cu In,0
Pt Th,0
Co In Sb,0
Al Au Ir,0
Cu Ga Mo,0
Co Mg Tb,1
Cu Eu Sb,0
Al Pt Y,0
Al Ni Y,1
Al Pd Y,0
Al Cu Li Mg,0
Cd Ir,0
Cd Cu Ir,0
Bi Sr Ti,0
Ga Ir Sr,0
Ni Sb Sr,0
Ag Ca Ge,0
Cu Ge Ni,0
Cu Ge Ni U,0
Cu Ge Np,0
Cu Ge Pr,0
Cu Ge Sb,0
Cu Ge Sc,1
Cu Ge Sm,0
Cu Ge Sn,0
Cu Ge Sr,0
Cu Ge Tm,0
Cu Ge Y,0
Cu Ge Yb,0
Cu Ge Zn,0
Cu Ge Zr,0
Cu Hf,0
Cu Hf Sn,0
Cu Hf Zn,0
Cu Ho,1
Cu Ho In,1
Cu Ho Pb,0
Cu Ho Sn,1
Cu In La,0
Cu In Lu,0
Cu In Mg,1
Cu In Nd,0
Cu In Sm,0
Cu In Tb,1
Cu In Ti,0
Cu In Tm,0
Cu In Y,1
Cu In Yb,1
Cu La,1
Cu La Ni,1
Cu La Pb,0
Cu La Sn,0
Cu Lu,1
Cu Lu Sn,1
Co Pt,1
Al Ge Mg,0
Cr Ge Y,1
Cr Sn Y,0
Ru Sc,1
Ru Ti,1
Re W,0
Ta W,0
Fe Rh,0
Ba Bi Sb,1
Bi Ca Sb,1
Bi Sb Sr,1
Co Hf Sb,0
Hf Ni Sn,0
Co Sb Zr,0
Ni Sn Zr,1
In La,1
La Pb,1
Ga Mn,1
Ti U,0
Co Ge Lu Ti,0
Co Lu Sn Ti,0
Co Ge La Ti,0
Co La Sn Ti,0
Co Ge Sc Ti,0
Al Mn Y,1
Ga Mn Y,0
Mn Sn Y,1
Co Mg Y,1
Sn Zr,1
Co Fe Mn Sb,0
Cr Gd Ge Sn,0
Pu Rh,1
Ir Pu,1
Ru Sb,0
Rh Sb,0
Al Ba Ge,1
Ag Mg Zn,1
Ag K Sb,0
Ag Bi K,0
Sn Sr,1
Li Sb Zn,0
Bi In,0
Ca Sn,1
Sb Ti,0
Mn Sb Zn,0
Ga V,0
Pu Ru,1
Al Li,1
Ba Cd,1
Au Sm,0
Co Sm,1
Ca Sb,0
Cd Cu,1
Fe Zn,0
Au Pr,0
Mg Sb,0
Cd Sm,0
Mg Ni Y,1
Mg Y,1
Al Ru Yb,1
Al Ho Ir,1
Al Ho Ru,0
Ga Mo Sn,0
Bi Ho Pd,0
Au Os Zr,0
Au Ge Mn Nd,0
Li Na Sn,0
Ca Ge Li,0
Ca Ge Lu Rh,0
Ca Ge Mn,0
Ca Ge Rh,0
Ca Ge Ru,0
Ca Ge Zn,0
Ca Li Sb,0
Ge Os Tm Y,0
Cd Cu Sb,0
Cd Ge Li,0
Cd Li Sb,0
Cd Sb,0
Ce Cu Ge,0
Ce Ga Ge,0
Ce Ge Ni,0
Ce Ge Pd,0
Ce Ge Sc,0
Cf Sb,0
Cm Sb,0
Co Cr Ge Mn,0
Co Er Ge,1
Co Fe Ge,0
Co Ga Ge,0
Co Ge Ho,1
Co Ge Nb,1
Co Ge Nd,0
Co Ge Np,0
Co Ge Pr,0
Co Ge Sc,1
Co Ge Tb,1
Co Ge Ti,1
Co Ge U,1
Co Ge Y,1
