Phase Field,Target
Co Ge Zn,0
Co Ir Mn Sb,0
Mo Sn,0
Ba Ge Ru,0
Ge Ru Sr,0
Ge Rh Sr,0
Ba Ge Rh,0
Ba Ge Zn,0
Ba Cd Ge,0
In K Na Sb,0
Ba Cu Sb,0
Ga K Na Sb,0
Cu Mg Sb,0
Eu Ge Rh,0
Ge Rh Yb,0
Ge Ho Rh,0
Al Sb Sr,0
Al Ba Sb,0
Al Ge U,0
Mg Tm,1
Mn Pr,1
Er Mn,1
Ir La,1
Ce Mn Ni,1
Co Ga Sm,1
Fe Ti Y,0
Hf Rh,1
Hf Ir,1
Ba Ca Mg Sb Yb,0
Co Ge Sm,0
Al Mn Ni,1
Ge Pt Y,0
Ge Pr Pt,0
Ge Pt Sm,0
Ge Pt Tm,0
Ge In Ni Yb,0
Al Au Sr,0
Co Pd Zn,0
Au Mn Y,0
Au Gd Mn,0
Ga Ho Mn,1
Er Ga,1
Er Ga Mn,1
Ga Tm,1
Ga Mn Tm,1
Nb Pt,0
Gd In Ni,1
Gd In Pd,0
Al Ni Zr,1
Os U,1
Ir U,1
Pd Rh U,1
Pd U,1
Rh U,1
Al Ce Ni Ru,1
Bi K Zn,0
Ir Sn Yb,0
Mg Na Pb,0
Dy Mg Ru,0
Co Ni U,1
Co Ni V,1
Co Ni Y,1
Co Ni Zr,1
Co Np,1
Co Pr,1
Co Pr Sm,1
Co Pr Sm Zr,1
Co Pr Yb,1
Co Pr Zr,1
Co Pu,1
Co Re Zr,1
Co Rh Sn,0
Co Sb,0
Co Sb Sn,0
Co Sb U,0
Co Sb V,0
Co Sc Sn,0
Co Sm Sn,0
Co Sm Ti,0
Co Sm V,0
Co Sm Y,1
Co Sm Y Zr,1
Co Sm Zr,1
Co Sn,1
Co Sn Tb,1
Co Sn Th,0
Co Sn Tm,1
Co Sn U,1
Co Sn V,0
Co Sn Y,1
Co Sn Yb,0
Co Sn Zr,0
Co Ta,1
Co Ta Ti,1
Co Ta V,1
Co Cr In,0
Co In Mo,0
Co Nb Sn,0
Co In W,0
Al Ba Sn,0
Au Na Sn,0
Cd Sb Tl,0
Fe Ni Sb,0
Sb Sr Zn,0
Ag Na Sb,0
Cd K Pb,0
Co Ga Y,1
In Li,0
Li Tl,0
Ir Sc,1
Os Sc,1
La Sb,0
Pt Tb,1
Eu In Pt,1
Ca Cd Sb,0
Cd Sb Sr,0
Na Sb Zn,0
Cd Na Sb,0
Al Dy,1
Cs Sb,0
Al Ca Pt,0
Al Ca Ir,0
Al Eu Rh,0
Al Co Gd La Mg Ni,1
Rh Sc Sn,0
Er Ge Re,0
Co Mg,1
In K,0
In La Ni,1
In La Pt,1
In La Rh,0
In La Sn,1
In Li Mg,0
In Li Sn,0
In Lu,1
In Lu Pd,0
In Mg,1
In Mg Ni,0
In Mn Ni Sn,0
In Mn Pd,0
In Mn Pd Sb,0
In Mn Pd Sn,0
In Mn Rh,0
In Na,0
In Na Sn,0
In Nb,0
In Nd,1
In Nd Ni,0
In Nd Pt,1
In Nd Rh,0
In Nd Sn,1
In Ni,1
In Ni Pr,0
In Ni Sc,0
In Ni Sm,0
In Ni Sn,1
In Ni Tb,0
In Ni Ti,0
In Ni U,1
In Ni Y,0
In Ni Zr,1
In Pb,0
In Pb Sn,0
In Pb Tl,0
In Pb Y,1
In Pd,1
In Pd Sc,0
In Pd Ti,0
In Pd Tm,0
In Pd Y,0
In Pd Yb,0
In Pd Zr,0
In Pr,1
In Pr Tl,1
In Pt Sc,0
In Pt Tm,0
Ge Mo Rh,0
K Sb Tl,0
Au Cu Yb,1
Ag Cu Er,1
Au Cu Er,1
La Pt,1
Pt U,1
Hf Ru Sb,0
Ag Ge Li,1
Fe Hf Sn,1
Ca Ge Pt,0
Au La Sb,0
Au Ce Sb,0
Au Nd Sb,0
Ca Ge Sn,0
Eu Ge In Ir,0
Ba Ga Sn,0
Cd Eu Pd,0
Ce Ge Zn,0
Gd Ge Zn,1
Dy Ge Zn,0
La Pd Zn,0
Bi Ir,0
Au Nd Sn,0
Au Sm Sn,0
Eu Hg,1
Ge Tb Zn,0
Bi Mg Sm,0
Cd Ce Pt,0
Ce Fe Ge In,0
Ce Pd Ru Sn,0
Ba Cd Pt,0
Eu Sb Zn,0
Ag Ca Pd,0
Ca Mg Pt,0
Ca Ga Pd,0
Al Fe Zn,0
Ge Rh Tm,0
La Mg Sn,1
Co Mg Zn,1
Cr V,0
Cr V Zr,1
Cr W,0
Cr Zr,1
Cr Mo Zr,1
Cs Ge,0
Cs Mn Sb,0
Cs Pb,0
Cs Sn,0
Cu Dy,1
Cu Dy Ga,1
Cu Dy Ge,0
Cu Dy In,1
Cu Dy Pb,1
Cu Dy Sn,1
Cu Er,1
Cu Er Ga,1
Cu Er Ge,0
Cu Er In,0
Cu Er Ni,1
Cu Er Pb,0
Cu Er Pd,1
Cu Er Sn,0
Cu Eu,1
Cu Eu Ga,0
Cu Eu Ni,1
Cu Fe,0
Cu Fe Nd,1
Cu Fe Pr,1
Cu Fe Pt,0
Cu Fe Sm,1
Cu Fe Y,1
Cu Fe Yb,1
Cu Ga Gd,1
Cu Ga Hf,0
Cu Ga Ho,0
Cu Ga La,0
Cu Ga Lu,1
Cu Ga Mn,1
Cu Ga Nb,1
Cu Ga Nd,0
Cu Ga Pr,0
Cu Ga Sc,0
Cu Ga Sm,0
Cu Ga Tb,0
Cu Ga Ti,1
Cu Ga Tm,0
Cu Ga Y,1
Cu Ga Yb,1
Cu Ga Zr,1
Cu Gd,1
Cu Gd Ge,0
Cu Gd In,1
Cu Gd Mn,0
Cu Gd Ni,0
Cu Gd Pb,0
Cu Gd Sn,1
Cu Ge,0
Cu Ge Hf,0
Cu Ge Ho,0
Cu Ge La,0
Cu Ge Lu,0
Cu Ge Mg,1
Cu Ge Mn,1
Ba Bi K,0
Gd Ge Sc,0
Al Fe Ni,0
Al Np,1
Ga Np,1
In Np,1
Fe Ga Mn,1
Ag Mg,1
Gd Mg,1
Mg Sn,1
Cr Ge Mo Ti,0
Ge Mo Ti,0
Cr Mo Sn Ti,0
Mo Sn Ti,0
Fe Ni,1
Ca Pd,1
Ga In Rb,0
Cs Ga In,0
Ga In K,0
Ga Mo,0
Rh Y,1
Al Sr,1
Cs K,1
Ba Ge Mn,0
Ba Mn Sn,0
Ca Co Ge,0
Co Ge Sr,0
Ca Ge Ni,0
Ge Ni Sr,0
Ag Sn Sr,0
Al Mo Yb,0
Ge Pt,0
Al Fe Tb,1
Al Pt,1
Au In,0
Ag In,1
Be Sb,0
Al V,1
Au Sb Y,0
In Pt Sr,0
Co In Sc,1
Au Ga Sc,0
Ga Ni Sc,0
Ga Pt Sc,0
Ga Nb Rh,0
Fe Ga Nb,1
Gd Mg Os,0
Mg Os Sm,0
Ce Mg Os,0
Mg Nd Os,0
Al Ir Sc,0
Al Rh Y,0
Ga Gd In Pt,0
Ga In Pt Tb,0
Sb Sm,0
Sb Sn Ti,0
Sb Ta,0
Sb Tb,0
Sb Tm,0
Sb U,0
Sb V,1
Sb Y,0
Sb Zn,0
Ag Cd Sb,0
Ag Eu Sb,0
Ag Li Sb,0
Ag Sb,0
Al Ca Ge,0
Al Ge Sr,0
Al Ge W,0
Al K Sb,0
Al Na Sb,0
Al Ni Sb,1
Al Sb,0
Au Ca Sb,0
Au Cd Sb,0
Au Eu Sb,0
Au Ge Li,0
Au Ge Nb,0
Au Ge Th,0
Au Mn Pt Sb,0
Au Mn Sb,0
Ba Ca Ge,0
Ba Cd Sb,0
Ba Sb,0
Ba Sb Zn,0
Be Co Ge,1
Be Cu Ge,1
Be Fe Ge,1
Be Ge Ni,1
Bi Mn Sb,0
Bi Ni Sb,0
Bi Pd Sb,0
Bk Sb,0
Ca Cd Ge,0
Ca Cu Ge,0
Nb Ni,1
Ni Ta,1
Bi K,1
Bi Rb,1
Bi Cs,1
Al Nd,1
Al Re,0
Be Ce,0
Be Pr,0
Be Nd,0
Au Ba Cd,0
Au Ba Zn,0
Au Ba Sn,0
Nd Ni Sn,1
Nd Ni,1
Al Pr Tb,1
Ag Al Mg,1
Fe Lu Ru,0
Pd Sb U,0
Ag Al,0
Rh Zr,1
Be U,0
Co Ni Th,1
Bi Gd,0
Al Os Yb,0
Al Lu Os,0
Ca Eu Ge In,0
Ca Ge In Sr,0
Eu Li Sb,0
Bi Ca Li,0
Bi Li Sr,0
Bi Li Yb,0
Bi Eu Li,0
Ba Li Sb,0
Ba Bi Li,0
Ga Ta,0
Co Mn Mo,0
Co Mn Nd,0
Co Mn Pr,0
Co Mn Sm,0
Co Mn Sn,0
Co Mn Th,1
Co Mn Ti,0
Co Mn Y,1
Co Mn Yb,1
Co Mn Zr,1
Co Mo,1
Co Mo Ta,1
Co Mo V,1
Co Mo Zr,1
Co Nb Pt,1
Co Nb V,1
Co Nd,1
Co Nd Sn,0
Co Ni,1
Co Ni Pr,1
Co Ni Sm,1
Co Ni Ta,1
Co Ni Tb,1
Co Ni Ti,1
Co Ni Tm,0
Dy Mg,1
Ga Hf Rh Zr,0
Hf In Rh Zr,0
Ir W,1
Bi Cu,1
Ni Ti V,1
Ni V,1
Ti V,1
Fe Ge Nb,1
Fe Nb Sn,0
Fe Sn Ta,0
Ga Ir Mn,0
Al Cr Rh,0
Cr In Rh,0
Al Mn Rh,0
Ga Mn Rh,0
Al Cr Ru,0
Cr Ga Ru,0
Cr Ge Ru,0
Cr Ru Sb,0
Cr Ru Sn,0
Fe Ga Ru,0
Al Mn Ru,0
Ge Mn Ru,0
Ge Ru V,0
Co Ga Sc,1
Al Mn Os,0
Au Cu Mn,0
Ag Au Mn,0
Cu Mn Pt,0
Fe Ir Rh,0
Hf Re V,0
Hf Os V,0
Hg Sc Ti,0
Mn Ni Pd,0
Au Mn Pd,0
Mn Pd Pt,0
Mn Pd Rh,0
Au Mn Pt,0
Mn Pt Rh,1
Ir Mn Ru,0
Fe Mn Nb,0
Au Cr Pd,0
Cr Cu Pd,0
Cu Mn Pd,0
Hg Mn Pd,0
Cr Cu Pt,0
Mn Ni Pt,0
Mn Pt Sc,0
Cu Mn Rh,0
Hf Mn Ru,0
Mn Ru Ti,0
Fe Mn Ta,0
Os Ti V,0
Re Ti V,0
Ru Ti V,0
Fe Os V,0
Fe Re V,0
Fe Ru V,0
Os V Zr,0
Al Mg,1
Al Sm,1
Ge W,0
Cu Ge Li,1
Au La Mg,0
Ga Li,0
Al Eu Mn,0
Dy Ga Ni,1
Ga Ho Ni,1
Ce Ni Sb,0
Re V Zr,1
Co Eu Ga,0
Ca Ga Ni,0
Ir Zr,1
K Sb,0
Ga Mn Ti,1
Lu Tl,1
Ga Lu Ni,1
Ca Pr Sb Zn,0
Ca Nd Sb Zn,0
Ca Ce Sb Zn,0
Ca Gd Sb Zn,0
Ca Sb Sm Zn,0
Ca La Sb Zn,0
Bi Ce Co Fe Sb,0
Bi Co Fe La Sb,0
Ce Fe Sb,0
Al Ca Ge Sb Yb,0
Ce Co Ge Sn,0
Ga Mo Zn,1
Am Ni Sn,0
Ga Sr,0
Ce Cu Sb,0
Au In Na,0
Ag In Na,0
In Li Y,0
Bi K Pb,1
Ca Ge La,0
Ca Ce Ge,0
Al Th V,0
Ba Sb V,0
Eu Ga Pd,0
Eu Pd,1
Ce Ge Mg,0
Gd In,1
Eu Ga Li,0
Ge Rb,0
Nd Sb,0
Ce Rh Sn,0
Li Rh Sn,0
Dy Mn,1
Dy Mn Sn,0
Dy Mn Tm,1
Dy Nd,0
Dy Ni Sm,0
Dy Ni Sn,1
Dy Os,1
Dy Pd,1
Dy Pd Pt,0
Dy Pd Sb,0
Dy Pd Sn,0
Dy Pt,1
Dy Pt Sn,0
Dy Re,1
Dy Re Th,1
Dy Rh,1
Dy Rh Sn,0
Dy Ru,1
Dy Sb,0
Dy Sb Yb,0
Dy Sn,1
Dy Tc,1
Dy Th,0
Dy Tl,1
Dy Tl Zn,0
Dy Zn,1
Er Fe Ga,1
Er Fe Ge,1
Er Fe Mn,1
Er Fe Mo,1
Er Fe Re,0
Er Fe Ru,1
Er Fe Sm Ti,0
Er Fe Sn,1
Er Fe Tb Ti,0
Er Fe V,1
Er Ga Ir,0
Er Ga Ni,1
Er Ga Pd,0
Er Ga Pt,0
Bi Lu,0
Li Sb,0
Bi Li,0
Ag Mg Tm,0
Bi Ni Sc,0
Al Co Fe Ni,0
Co Fe Mn Ni,1
Co Hf Zr,0
Bi Hf Ir Zr,0
Bi Ir Zr,0
Hg In,0
Hg Sn,0
Fe In,0
Ga Re,0
Re Sn,0
Bi Sn,0
Al Ni,1
Fe Nd,1
Mg Yb Zn,0
Al Bi,0
Ag Au,1
Au Pd,1
Au Pt,1
Ni Pd,1
Ni Pt,1
Pd Pt,0
Co Sc V,1
Co Ti V,1
Co Hf V,1
Co Rh V,1
Co Ir V,1
Co Pt V,1
Co Cr Ga,0
Ca Rh,1
Er Ni Sn,0
Ho Mg Ru,0
Co Mn Zn,0
Ga Mo Sb,0
Ni Sb U,0
Co La,1
Fe Th,1
Ga Mg,0
Ni Pt Ti,1
Au Na Sb,0
Al Fe U,1
Fe Ga U,1
Al Ru U,0
Ga Ru U,0
Al Rh U,0
Al Ir U,0
Pd Ti,1
In Pt Pu,0
In Pu Rh,0
Ni Pu Sn,0
Pd Pu Sn,0
Am Pd Sn,0
Bi Ti,0
Al Ce Pt,1
Al Pr Pt,0
Al Nd Pt,1
Al La Mo,0
Nb Zn,1
Mo Zn,0
Ni Sn U,1
Fe Sn U,1
Bi Eu,0
Ce In Ir,0
Ce In Rh,0
Pb Ti,0
In Ir La,0
Ge Ir Mn,0
Cr Sb Zr,0
Ni Pr Sb,0
Nd Ni Sb,0
Ni Sb Sm,0
Co Ga Tb,1
Co Dy Ga,1
Co Ga Ho,1
Co Er Ga,1
Ce Ga Pd,1
Ba Ga,0
Au Hg,1
Rb Zn,0
Al Fe,1
Al U,1
Sn U,1
Ce Pt,1
Fe U,1
Mn U,1
Mn Th,1
Cd Sr,0
Ca Sn Sr,1
Ca Pb Sr,1
In K Mg,0
Al Er Ge Ni,0
Ir Li Sn,0
Ca Na Sn,0
Na Sn Yb,0
Li Sb Sr,0
Ga Ge Sm,0
Sb Sn U,0
Eu Pd Tl,0
In Rh Tb,0
Cr Ge Ho Mn,1
Tb Zn,1
Gd Mg Pb,0
Ge Os Yb,0
Ca Li Pb,0
Li Pb Yb,0
Ga La,1
Ga Mn Zn,0
Pt Sn Yb,0
Bi Cs In,0
Au In Yb,0
Eu In Pd,1
Ba Ge Mg,0
Ba Hg,0
Eu Ir Sn,0
Eu Ir,1
Au Ca In,0
Au In Sr,0
La Rh Sn,0
Pb Pt Yb,0
Ba K Sb,0
Ca In Rh,0
Ca In Ir,0
Au Ce In,0
Ca Pt Sn Yb,0
Ca Pt Sn Tm,0
Ca Er Pt Sn,0
In Rh Ti,0
In Ir,0
In Rh Sr,0
Ba In Rh,0
Fe Ge Sb,1
Eu In Rh,0
Li Rb Sn,0
K Li Sn,0
Au Mg Yb,0
Au Ho Mg,0
Au Eu Mg,0
Au Mg Pr,0
Ho In Pt,1
Ce Ir Sn,0
Au Cd Ce,0
Au Cd La,0
Au Cd Eu,0
Au Cd Yb,0
Ge Li Rb,0
Ce Ge Ir,0
Cu Mg Y,1
Fe Ge Sb Ti,1
Ag Mg Nd,0
Ag Eu Mg,0
Ag Ce Mg,0
Ag Mg Yb,0
Cd Gd Pd,0
Au Sn Yb,0
Ho Rh Sn,0
Ag Cd Eu,0
Eu Ga Zn,0
Sb Ti Zn,0
Pb Rb,0
Cs K Pb,0
Cs Na Pb,0
Ga V Zn,1
Ba Sn,0
Pt Sn Sr,0
Mg Pt Sm,0
La Mg Rh,0
Ce Mg Rh,0
Mg Pr Rh,0
Mg Nd Rh,0
Ce Ga Os,0
Ga Rh Zr,0
Ga Hf Rh,0
In Rh Zr,0
Mg Zn,1
Ce Mg Pt,0
Gd In Pt,1
Gd Mg Pd,0
Ag Gd Mg,0
Gd Mg Pt,0
Ga Ho Ru,0
Mg Ru Sn,0
Mg Rh Sn,0
In Pt Tb,1
La Ni Sn,1
Ge Ir Yb,0
Mg Pd Yb,0
Mg Nd Pd,0
Mg Pd Tb,0
Co Ga Hf,1
Ga Hf Ni,1
Ga La Mn Sb,0
In Pd Pr,0
In Nd Pd,0
In Pd Sm,0
In Rh Yb,0
Co In Yb,0
In Lu Rh,0
In Rh Tm,0
Er In Rh,0
Ho In Rh,0
In Rh Sm,0
Nd Sn,1
Bi In Na,0
Bi In K,0
In Ir Mg,0
Er Pd Sn,0
Dy Os Sn,0
Fe Ge Sc,1
Fe Ge Ta,0
Fe Ge Th,0
Fe Ge Tm,1
Fe Ge Y,1
Fe Hf Mo,0
Fe Hf Re,0
Fe Hf Ta,1
Fe Hf Ti,1
Fe Hf V,1
Fe Hf W,0
Fe Ho,1
Fe Ho Mn,1
Fe Ho Mo,0
Fe Ho Re,0
Fe Ho Sn,1
Fe Ho Tb,1
Fe Ho Ti,0
Fe Ho V,0
Fe In Pr,0
Fe Ir,1
Fe La Ni,1
Fe La Sn,0
Fe La Th,1
Fe Lu,1
Fe Lu Sn,1
Fe Lu Th,1
Fe Lu Ti,0
Fe Lu V,0
Fe Mn,0
Fe Mn Y,1
Fe Mn Nd,0
Fe Mn Ni,0
Fe Mn Pt,1
K Sb Sn,0
Fe Sc Sn,0
Cr Sn Ti,0
Al Mn Ti,1
In Mn Ti,0
Sb Ti V,0
Al Cr Sc,1
Cr Ga Sc,0
Cr In Sc,0
Cr Sc Sn,0
Ge Mn Sc,1
Ge Sc V,0
In Sc V,0
Sc Sn V,0
Co Ga Ti,1
Co In Ti,0
Fe Ga Ti,1
Fe In Ti,0
Fe Sn Ti,0
Ge Mn Ti,0
Mn Sn Ti,0
Ga Ni Ti,1
Sn Ti V,0
Al Mn V,0
Ga Mn V,0
Co Cr Ge,0
Cr Ga Mn,0
Cr Ge Mn,0
Cr Ge Ni,1
Al Fe Mn,0
Co Sb Sc,0
Cr Sb Sc,0
Al Fe Sc,1
Fe Ga Sc,1
Fe In Sc,0
Al Mn Sc,0
In Mn Sc,0
Mn Sb Sc,0
Al Ni Sc,1
Ni Sc Sn,1
Al Sc V,0
Sb Sc V,0
Al Cr Ti,1
Cr In Ti,0
Cr Sb Ti,0
Mn Sb Ti,0
Al Ti V,0
Ga Ti V,0
Al Fe V,0
Fe Ga V,0
Mn Sn V,0
Bi Ca Na,0
Al Pu W,0
Al Ca Fe,0
Ce Ga Ir,0
Lu Ni Sn,1
Ce Cu Mn,1
Mn Ni Sm,1
Co Cu Ge U,0
Ce Ge Mn,0
Ag Ce Sn,0
Ag Pr Sn,0
Ag Nd Sn,0
Ag Sn Tb,1
Ag Dy Sn,1
Ag Ho Sn,1
Ag Er Sn,1
Ce Cu Ni,1
Dy In Ni,1
Ho In Ni,0
Er In Ni,1
Al Rh,0
Bi Cm,0
Cm Ni,1
Cm Pt,1
Cm Ir,1
Cm Rh,1
Ge La Rh,0
Ge La Ru,0
Dy Ge Rh,0
Dy Ge Ru,0
Ga Mn Sn Zr,1
Ge Os,0
Al Ge Ni Tb,0
Ce Ni Sn,1
Ce Cu,1
Al Ce Ti,0
Al Ce Mo,0
Ca Cu Ga,0
Ag Ca Ga,0
Al Mg Na Zn,0
Al Dy Ti,0
Au Ni Sn,0
In Na Ni,0
Al Nd Pd,1
Mn Pd,1
Mn Sn,1
Ag K,1
Bi Mn Ti,0
Bi Fe Ti,0
Bi Co Ti,0
Bi Ni Ti,0
In Ni Pu,0
Ce In,1
Pd Zn,0
Ca Ge Sr,0
Fe Sb U,0
Ce Pd Sn,0
Cs Na Sn,1
Cs Na Rb Sn,0
Na Sn Sr,0
Cd Na Sn,0
Cs Ge Zn,0
Cd Na Pb,0
Ba Li Sn,0
Na Rb Sn,0
K Na Sn,0
Cd K,0
Cd Na,0
K Pb,1
Hg Rb,1
Cs Hg,0
Hg K,1
La Ni Y,1
Ce La Ni Y,1
Ce Ni Y,1
Li Sn,1
K Sn,1
Ag Ba,1
Cd In K Na,0
Cd K Na Tl,0
Al Gd Pd,1
Al Ba Zn,1
Ga Ni Yb,1
In Mn Sn Tm,1
Al Ga Y,0
Cd Pt Sr,0
Al Dy Ru,0
Gd Mg Sn,0
Al Au Ce,0
Al Au Gd,0
Al Au Tb,0
Al Au Pr,0
Al Au Lu,0
Al Au Ho,0
Al Au Nd,0
Al Au Dy,0
Al Au Er,0
Al Au Yb,0
Al Au Sm,0
Al Au Tm,0
Ni Sb Yb,0
Cd Ga Li,0
Ge In K,0
Cd Cu Ga Na,0
Al Cr Tb,0
Al Cr Er,0
Al Cr Ho,0
Al Cr Lu,0
Cd K Tl,1
Cu Ga In Li,0
Al Mo,0
Ge In Yb,0
Ag Al La,1
Al Fe Lu,1
Fe Nd Sn,0
In K Na Tl,0
Al Pd Ru,0
Eu Sn Zn,0
Ag Eu Sn,0
Hf In Ni,0
Co In,0
Ca In Pd,0
Co Hf Sn,0
Ge Li Mg Sr,0
Mg Pb,0
Rb Sn,0
Au Pb Yb,0
Pt Sc Zn,0
Ca Cd La Sb,0
Cd Pd,0
Ca Cd Pd,0
Au Cd Tb,0
Al Au Ba,0
Fe Mo Sb,0
Au Y Zn,0
Eu Tl,1
Eu Zn,1
Fe Ga Ho,1
Fe Ga La,0
Fe Ga Lu,1
Fe Ga Mn Sm,0
Fe Ga Nd,0
Fe Ga Ni,1
Fe Ga Pr,0
Fe Ga Sm,1
Fe Ga Tb,1
Fe Ga Tm,1
Fe Ga Y,1
Fe Ga Yb,1
Fe Ga Zr,1
Fe Gd Ge,1
Fe Gd Mn,1
Fe Gd Mo,0
Fe Gd Sn,1
Fe Gd V,0
Fe Gd W,0
Fe Gd Y,1
Fe Ge Ho,1
Fe Ge Li,1
Fe Ge Lu,1
Fe Ge Mo,1
Fe Ge Np,0
Al Co Tc,1
Al Co Os,1
Al Co Pd,1
Cr Fe Mn V W,0
Al Cu Mn Ni,0
Cu Mn Ni Sn,0
Fe Nb Sb,0
Pd Tb,1
Ir Nd,1
Ce Ge Ru,0
Al Ge Mn,0
Co Ga In Sb,0
Ge La Mo,0
Al Nd Re,0
Ge Tm Zr,0
Ge Hf Ho,0
Ga Ni Sm,1
Fe Sn,1
In Pd Sb,0
Ba Sb Sr,0
Rh Sb Tb,0
Ir Sb Sm,0
Bi Rh Sm,0
Bi Dy Rh,0
Ga La Sb Sn,0
Ni Sc Sn Ti,0
Al Ce Ge Ni,0
Rh Sb Ti,0
Nd Pt Sb,0
Pt Sb Sm,0
Eu Ga Ge Sr,0
Fe Sm,1
La Mn Ni,1
Er Ge Ru,0
Ce Co Fe Sb,0
Ce Co Sb,0
Ce Fe Sb Yb,0
Fe Sb Yb,0
Ge Li Pr,0
Ce In Ni,1
Ga Ru Tm,0
In Lu Ni,0
Ce Cu Sn,0
Co Ga Pr,1
Ga Mn Ni,1
Al Co Lu Y,1
Dy Ge Mn,1
Fe Ni Th,1
Re Ti,0
Ni Sn,1
Mn Y,1
Ag Gd,0
Os V,0
Al Er,1
Au Pb,1
Au Ga,0
Ce Mg,1
Ag Ce,0
Ag La,1
Gd Mn,1
Au Cs,0
Au Rb,0
Au Li,1
Ce Ru,1
Au Nd,0
Al Fe Yb,1
Dy Fe Sn,1
Pd Sn Yb,0
Mg Sm Zn,0
Gd Mg Zn,0
Ag Ga,0
Ir Sn Zr,0
Au Cu,1
Pr Sn,1
Pb Pr,1
Au Zn,0
Ni Sb Tb,0
Ho Ni Sb,0
Hg Na,0
Sb Sn Th,0
Ce Ge Ir Rh,0
Ce Co Sn,0
Co La Sn,0
Ca Sb Sr,0
Al Gd Ru,0
Al Ru Tb,0
Eu In Ir,0
Mg Na Sn,0
Au Bi Gd,0
Au Ga Sr,0
Ca Cu In,1
Al Cs Tl,0
K Tl,0
Al Ni Yb,1
Ca Cd Ga,0
Cd Ga Sr,0
Ba Cd Ga,0
Al Pd Yb,0
Al Gd Ir,0
Rb Tl,1
Ga In Na,0
Co In Tb,0
Au Ga Na,0
Ca Mg,1
Pt Zn,1
Al K Na Sb,0
Ge K,1
Ba Eu Ge Pt,0
Eu Ge Pt,0
Rh Sb Yb,0
Ga Mg Nd,1
Ga Mg Tm,1
Ga Mg Sm,1
Au Cu Sn,0
Ce Ge In,0
Cd Sb Sm,0
Au Cd Pr,0
Fe Ni Ti,0
Fe Ni Ti Y,0
Fe Ni U,1
Fe Ni Y,1
Fe Ni Zr,1
